title,link,description
Numerical Differentiation using local Chebyshev-Approximation. (arXiv:2102.02269v1 [math.NA]),http://arxiv.org/abs/2102.02269,"<p>In applied mathematics, especially in optimization, functions are often only
provided as so called ""Black-Boxes"" provided by software packages, or very
complex algorithms, which make automatic differentation very complicated or
even impossible. Hence one seeks the numerical approximation of the derivative.
</p>
<p>Unfortunately numerical differentation is a difficult task in itself, and it
is well known that it is numerical instable. There are many works on this
topic, including the usage of (global) Chebyshev approximations. Chebyshev
approximations have the great property that they converge very fast, if the
function is smooth. Nevertheless those approches have several drawbacks, since
in practice functions are not smooth, and a global approximation needs many
function evalutions.
</p>
<p>Nevertheless there is hope. Since functions in real world applications are
most times smooth except for finite points, corners or edges. This motivates to
use a local Chebyshev approach, where the function is only approximated
locally, and hence the Chebyshev approximations still yields a fast
approximation of the desired function. We will study such an approch in this
work, and will provide a numerical example
</p>
"
Confusion2vec 2.0: Enriching Ambiguous Spoken Language Representations with Subwords. (arXiv:2102.02270v1 [cs.CL]),http://arxiv.org/abs/2102.02270,"<p>Word vector representations enable machines to encode human language for
spoken language understanding and processing. Confusion2vec, motivated from
human speech production and perception, is a word vector representation which
encodes ambiguities present in human spoken language in addition to semantics
and syntactic information. Confusion2vec provides a robust spoken language
representation by considering inherent human language ambiguities. In this
paper, we propose a novel word vector space estimation by unsupervised learning
on lattices output by an automatic speech recognition (ASR) system. We encode
each word in confusion2vec vector space by its constituent subword character
n-grams. We show the subword encoding helps better represent the acoustic
perceptual ambiguities in human spoken language via information modeled on
lattice structured ASR output. The usefulness of the proposed Confusion2vec
representation is evaluated using semantic, syntactic and acoustic analogy and
word similarity tasks. We also show the benefits of subword modeling for
acoustic ambiguity representation on the task of spoken language intent
detection. The results significantly outperform existing word vector
representations when evaluated on erroneous ASR outputs. We demonstrate that
Confusion2vec subword modeling eliminates the need for retraining/adapting the
natural language understanding models on ASR transcripts.
</p>
"
Neural Recursive Belief States in Multi-Agent Reinforcement Learning. (arXiv:2102.02274v1 [cs.LG]),http://arxiv.org/abs/2102.02274,"<p>In multi-agent reinforcement learning, the problem of learning to act is
particularly difficult because the policies of co-players may be heavily
conditioned on information only observed by them. On the other hand, humans
readily form beliefs about the knowledge possessed by their peers and leverage
beliefs to inform decision-making. Such abilities underlie individual success
in a wide range of Markov games, from bluffing in Poker to conditional
cooperation in the Prisoner's Dilemma, to convention-building in Bridge.
Classical methods are usually not applicable to complex domains due to the
intractable nature of hierarchical beliefs (i.e. beliefs of other agents'
beliefs). We propose a scalable method to approximate these belief structures
using recursive deep generative models, and to use the belief models to obtain
representations useful to acting in complex tasks. Our agents trained with
belief models outperform model-free baselines with equivalent representational
capacity using common training paradigms. We also show that higher-order belief
models outperform agents with lower-order models.
</p>
"
Modelling and simulation of a wave energy converter. (arXiv:2102.02275v1 [math.AP]),http://arxiv.org/abs/2102.02275,"<p>In this work we present the mathematical model and simulations of a
particular wave energy converter, the so-called oscillating water column. In
this device, waves governed by the one-dimensional nonlinear shallow water
equations arrive from offshore, encounter a step in the bottom and then arrive
into a chamber to change the volume of the air to activate the turbine. The
system is reformulated as two transmission problems: one is related to the wave
motion over the stepped topography and the other one is related to the
wave-structure interaction at the entrance of the chamber. We finally use the
characteristic equations of Riemann invariants to obtain the discretized
transmission conditions and we implement the Lax-Friedrichs scheme to get
numerical solutions.
</p>
"
Insiders and Outsiders in Research on Machine Learning and Society. (arXiv:2102.02279v1 [cs.CY]),http://arxiv.org/abs/2102.02279,"<p>A subset of machine learning research intersects with societal issues,
including fairness, accountability and transparency, as well as the use of
machine learning for social good. In this work, we analyze the scholars
contributing to this research at the intersection of machine learning and
society through the lens of the sociology of science. By analyzing the
authorship of all machine learning papers posted to arXiv, we show that
compared to researchers from overrepresented backgrounds (defined by gender and
race/ethnicity), researchers from underrepresented backgrounds are more likely
to conduct research at this intersection than other kinds of machine learning
research. This state of affairs leads to contention between two perspectives on
insiders and outsiders in the scientific enterprise: outsiders being those
outside the group being studied, and outsiders being those who have not
participated as researchers in an area historically. This contention manifests
as an epistemic question on the validity of knowledge derived from lived
experience in machine learning research, and predicts boundary work that we see
in a real-world example.
</p>
"
Downbeat Tracking with Tempo-Invariant Convolutional Neural Networks. (arXiv:2102.02282v1 [cs.SD]),http://arxiv.org/abs/2102.02282,"<p>The human ability to track musical downbeats is robust to changes in tempo,
and it extends to tempi never previously encountered. We propose a
deterministic time-warping operation that enables this skill in a convolutional
neural network (CNN) by allowing the network to learn rhythmic patterns
independently of tempo. Unlike conventional deep learning approaches, which
learn rhythmic patterns at the tempi present in the training dataset, the
patterns learned in our model are tempo-invariant, leading to better tempo
generalisation and more efficient usage of the network capacity. We test the
generalisation property on a synthetic dataset created by rendering the Groove
MIDI Dataset using FluidSynth, split into a training set containing the
original performances and a test set containing tempo-scaled versions rendered
with different SoundFonts (test-time augmentation). The proposed model
generalises nearly perfectly to unseen tempi (F-measure of 0.89 on both
training and test sets), whereas a comparable conventional CNN achieves similar
accuracy only for the training set (0.89) and drops to 0.54 on the test set.
The generalisation advantage of the proposed model extends to real music, as
shown by results on the GTZAN and Ballroom datasets.
</p>
"
HiCOPS: High Performance Computing Framework for Tera-Scale Database Search of Mass Spectrometry based Omics Data. (arXiv:2102.02286v1 [cs.DC]),http://arxiv.org/abs/2102.02286,"<p>Database-search algorithms, that deduce peptides from Mass Spectrometry (MS)
data, have tried to improve the computational efficiency to accomplish larger,
and more complex systems biology studies. Existing serial, and high-performance
computing (HPC) search engines, otherwise highly successful, are known to
exhibit poor-scalability with increasing size of theoretical search-space
needed for increased complexity of modern non-model, multi-species MS-based
omics analysis. Consequently, the bottleneck for computational techniques is
the communication costs of moving the data between hierarchy of memory, or
processing units, and not the arithmetic operations. This post-Moore change in
architecture, and demands of modern systems biology experiments have dampened
the overall effectiveness of the existing HPC workflows. We present a novel
efficient parallel computational method, and its implementation on
memory-distributed architectures for peptide identification tool called HiCOPS,
that enables more than 100-fold improvement in speed over most existing HPC
proteome database search tools. HiCOPS empowers the supercomputing database
search concept for comprehensive identification of peptides, and all their
modified forms within a reasonable time-frame. We demonstrate this by searching
Gigabytes of experimental MS data against Terabytes of databases where HiCOPS
completes peptide identification in few minutes using 72 parallel nodes (1728
cores) compared to several weeks required by existing state-of-the-art tools
using 1 node (24 cores); 100 minutes vs 5 weeks; 500x speedup. Finally, we
formulate a theoretical framework for our overhead-avoiding strategy, and
report superior performance evaluation results for key metrics including
execution time, CPU utilization, speedups, and I/O efficiency. We also
demonstrate superior performance as compared to all existing HPC strategies.
</p>
"
Echo-SyncNet: Self-supervised Cardiac View Synchronization in Echocardiography. (arXiv:2102.02287v1 [cs.CV]),http://arxiv.org/abs/2102.02287,"<p>In echocardiography (echo), an electrocardiogram (ECG) is conventionally used
to temporally align different cardiac views for assessing critical
measurements. However, in emergencies or point-of-care situations, acquiring an
ECG is often not an option, hence motivating the need for alternative temporal
synchronization methods. Here, we propose Echo-SyncNet, a self-supervised
learning framework to synchronize various cross-sectional 2D echo series
without any external input. The proposed framework takes advantage of both
intra-view and inter-view self supervisions. The former relies on
spatiotemporal patterns found between the frames of a single echo cine and the
latter on the interdependencies between multiple cines. The combined
supervisions are used to learn a feature-rich embedding space where multiple
echo cines can be temporally synchronized. We evaluate the framework with
multiple experiments: 1) Using data from 998 patients, Echo-SyncNet shows
promising results for synchronizing Apical 2 chamber and Apical 4 chamber
cardiac views; 2) Using data from 3070 patients, our experiments reveal that
the learned representations of Echo-SyncNet outperform a supervised deep
learning method that is optimized for automatic detection of fine-grained
cardiac phase; 3) We show the usefulness of the learned representations in a
one-shot learning scenario of cardiac keyframe detection. Without any
fine-tuning, keyframes in 1188 validation patient studies are identified by
synchronizing them with only one labeled reference study. We do not make any
prior assumption about what specific cardiac views are used for training and
show that Echo-SyncNet can accurately generalize to views not present in its
training set. Project repository: github.com/fatemehtd/Echo-SyncNet.
</p>
"
Nearest Neighbor-based Importance Weighting. (arXiv:2102.02291v1 [cs.LG]),http://arxiv.org/abs/2102.02291,"<p>Importance weighting is widely applicable in machine learning in general and
in techniques dealing with data covariate shift problems in particular. A
novel, direct approach to determine such importance weighting is presented. It
relies on a nearest neighbor classification scheme and is relatively
straightforward to implement. Comparative experiments on various classification
tasks demonstrate the effectiveness of our so-called nearest neighbor weighting
(NNeW) scheme. Considering its performance, our procedure can act as a simple
and effective baseline method for importance weighting.
</p>
"
Predicting the probability distribution of bus travel time to move towards reliable planning of public transport services. (arXiv:2102.02292v1 [cs.LG]),http://arxiv.org/abs/2102.02292,"<p>An important aspect of the quality of a public transport service is its
reliability, which is defined as the invariability of the service attributes.
Preventive measures taken during planning can reduce risks of unreliability
throughout operations. In order to tackle reliability during the service
planning phase, a key piece of information is the long-term prediction of the
density of the travel time, which conveys the uncertainty of travel times. We
introduce a reliable approach to one of the problems of service planning in
public transport, namely the Multiple Depot Vehicle Scheduling Problem (MDVSP),
which takes as input a set of trips and the probability density function
(p.d.f.) of the travel time of each trip in order to output delay-tolerant
vehicle schedules. This work empirically compares probabilistic models for the
prediction of the conditional p.d.f. of the travel time, as a first step
towards reliable MDVSP solutions. Two types of probabilistic models, namely
similarity-based density estimation models and a smoothed Logistic Regression
for probabilistic classification model, are compared on a dataset of more than
41,000 trips and 50 bus routes of the city of Montr\'eal. The result of a vast
majority of probabilistic models outperforms that of a Random Forests model,
which is not inherently probabilistic, thus highlighting the added value of
modeling the conditional p.d.f. of the travel time with probabilistic models. A
similarity-based density estimation model using a $k$ Nearest Neighbors method
and a Kernel Density Estimation predicted the best estimate of the true
conditional p.d.f. on this dataset.
</p>
"
Variational Bayes survival analysis for unemployment modelling. (arXiv:2102.02295v1 [stat.AP]),http://arxiv.org/abs/2102.02295,"<p>Mathematical modelling of unemployment dynamics attempts to predict the
probability of a job seeker finding a job as a function of time. This is
typically achieved by using information in unemployment records. These records
are right censored, making survival analysis a suitable approach for parameter
estimation. The proposed model uses a deep artificial neural network (ANN) as a
non-linear hazard function. Through embedding, high-cardinality categorical
features are analysed efficiently. The posterior distribution of the ANN
parameters are estimated using a variational Bayes method. The model is
evaluated on a time-to-employment data set spanning from 2011 to 2020 provided
by the Slovenian public employment service. It is used to determine the
employment probability over time for each individual on the record. Similar
models could be applied to other questions with multi-dimensional,
high-cardinality categorical data including censored records. Such data is
often encountered in personal records, for example in medical records.
</p>
"
Parallax estimation for push-frame satellite imagery: application to super-resolution and 3D surface modeling from Skysat products. (arXiv:2102.02301v1 [cs.CV]),http://arxiv.org/abs/2102.02301,"<p>Recent constellations of satellites, including the Skysat constellation, are
able to acquire bursts of images. This new acquisition mode allows for modern
image restoration techniques, including multi-frame super-resolution. As the
satellite moves during the acquisition of the burst, elevation changes in the
scene translate into noticeable parallax. This parallax hinders the results of
the restoration. To cope with this issue, we propose a novel parallax
estimation method. The method is composed of a linear Plane+Parallax
decomposition of the apparent motion and a multi-frame optical flow algorithm
that exploits all frames simultaneously. Using SkySat L1A images, we show that
the estimated per-pixel displacements are important for applying multi-frame
super-resolution on scenes containing elevation changes and that can also be
used to estimate a coarse 3D surface model.
</p>
"
"Cleora: A Simple, Strong and Scalable Graph Embedding Scheme. (arXiv:2102.02302v1 [cs.LG])",http://arxiv.org/abs/2102.02302,"<p>The area of graph embeddings is currently dominated by contrastive learning
methods, which demand formulation of an explicit objective function and
sampling of positive and negative examples. This creates a conceptual and
computational overhead. Simple, classic unsupervised approaches like
Multidimensional Scaling (MSD) or the Laplacian eigenmap skip the necessity of
tedious objective optimization, directly exploiting data geometry.
Unfortunately, their reliance on very costly operations such as matrix
eigendecomposition make them unable to scale to large graphs that are common in
today's digital world. In this paper we present Cleora: an algorithm which gets
the best of two worlds, being both unsupervised and highly scalable. We show
that high quality embeddings can be produced without the popular step-wise
learning framework with example sampling. An intuitive learning objective of
our algorithm is that a node should be similar to its neighbors, without
explicitly pushing disconnected nodes apart. The objective is achieved by
iterative weighted averaging of node neigbors' embeddings, followed by
normalization across dimensions. Thanks to the averaging operation the
algorithm makes rapid strides across the embedding space and usually reaches
optimal embeddings in just a few iterations. Cleora runs faster than other
state-of-the-art CPU algorithms and produces embeddings of competitive quality
as measured on downstream tasks: link prediction and node classification. We
show that Cleora learns a data abstraction that is similar to contrastive
methods, yet at much lower computational cost. We open-source Cleora under the
MIT license allowing commercial use under https://github.com/Synerise/cleora.
</p>
"
Improved Cooperation by Exploiting a Common Signal. (arXiv:2102.02304v1 [cs.MA]),http://arxiv.org/abs/2102.02304,"<p>Can artificial agents benefit from human conventions? Human societies manage
to successfully self-organize and resolve the tragedy of the commons in
common-pool resources, in spite of the bleak prediction of non-cooperative game
theory. On top of that, real-world problems are inherently large-scale and of
low observability. One key concept that facilitates human coordination in such
settings is the use of conventions. Inspired by human behavior, we investigate
the learning dynamics and emergence of temporal conventions, focusing on
common-pool resources. Extra emphasis was given in designing a realistic
evaluation setting: (a) environment dynamics are modeled on real-world
fisheries, (b) we assume decentralized learning, where agents can observe only
their own history, and (c) we run large-scale simulations (up to 64 agents).
</p>
<p>Uncoupled policies and low observability make cooperation hard to achieve; as
the number of agents grow, the probability of taking a correct gradient
direction decreases exponentially. By introducing an arbitrary common signal
(e.g., date, time, or any periodic set of numbers) as a means to couple the
learning process, we show that temporal conventions can emerge and agents reach
sustainable harvesting strategies. The introduction of the signal consistently
improves the social welfare (by 258% on average, up to 3306%), the range of
environmental parameters where sustainability can be achieved (by 46% on
average, up to 300%), and the convergence speed in low abundance settings (by
13% on average, up to 53%).
</p>
"
Typing Errors in Factual Knowledge Graphs: Severity and Possible Ways Out. (arXiv:2102.02307v1 [cs.DB]),http://arxiv.org/abs/2102.02307,"<p>Factual knowledge graphs (KGs) such as DBpedia and Wikidata have served as
part of various downstream tasks and are also widely adopted by artificial
intelligence research communities as benchmark datasets. However, we found
these KGs to be surprisingly noisy. In this study, we question the quality of
these KGs, where the typing error rate is estimated to be 27% for
coarse-grained types on average, and even 73% for certain fine-grained types.
In pursuit of solutions, we propose an active typing error detection algorithm
that maximizes the utilization of both gold and noisy labels. We also
comprehensively discuss and compare unsupervised, semi-supervised, and
supervised paradigms to deal with typing errors in factual KGs. The outcomes of
this study provide guidelines for researchers to use noisy factual KGs. To help
practitioners deploy the techniques and conduct further research, we published
our code and data.
</p>
"
Fuzzing Hardware Like Software. (arXiv:2102.02308v1 [cs.AR]),http://arxiv.org/abs/2102.02308,"<p>Hardware flaws are permanent and potent: hardware cannot be patched once
fabricated, and any flaws may undermine any software executing on top.
Consequently, verification time dominates implementation time. The gold
standard in hardware Design Verification (DV) is concentrated at two extremes:
random dynamic verification and formal verification. Both struggle to root out
the subtle flaws in complex hardware that often manifest as security
vulnerabilities. The root problem with random verification is its undirected
nature, making it inefficient, while formal verification is constrained by the
state-space explosion problem, making it infeasible against complex designs.
What is needed is a solution that is directed, yet under-constrained.
</p>
<p>Instead of making incremental improvements to existing DV approaches, we
leverage the observation that existing software fuzzers already provide such a
solution, and adapt them for hardware DV. Specifically, we translate RTL
hardware to a software model and fuzz that model. The central challenge we
address is how best to mitigate the differences between the hardware execution
model and software execution model. This includes: 1) how to represent test
cases, 2) what is the hardware equivalent of a crash, 3) what is an appropriate
coverage metric, and 4) how to create a general-purpose fuzzing harness for
hardware.
</p>
<p>To evaluate our approach, we fuzz four IP blocks from Google's OpenTitan SoC.
Our experiments reveal a two orders-of-magnitude reduction in run time to
achieve Finite State Machine (FSM) coverage over traditional dynamic
verification schemes. Moreover, with our design-agnostic harness, we achieve
over 88% HDL line coverage in three out of four of our designs -- even without
any initial seeds.
</p>
"
Causal Sufficiency and Actual Causation. (arXiv:2102.02311v1 [cs.AI]),http://arxiv.org/abs/2102.02311,"<p>Pearl opened the door to formally defining actual causation using causal
models. His approach rests on two strategies: first, capturing the widespread
intuition that X=x causes Y=y iff X=x is a Necessary Element of a Sufficient
Set for Y=y, and second, showing that his definition gives intuitive answers on
a wide set of problem cases. This inspired dozens of variations of his
definition of actual causation, the most prominent of which are due to Halpern
&amp; Pearl. Yet all of them ignore Pearl's first strategy, and the second strategy
taken by itself is unable to deliver a consensus. This paper offers a way out
by going back to the first strategy: it offers six formal definitions of causal
sufficiency and two interpretations of necessity. Combining the two gives
twelve new definitions of actual causation. Several interesting results about
these definitions and their relation to the various Halpern &amp; Pearl definitions
are presented. Afterwards the second strategy is evaluated as well. In order to
maximize neutrality, the paper relies mostly on the examples and intuitions of
Halpern &amp; Pearl. One definition comes out as being superior to all others, and
is therefore suggested as a new definition of actual causation.
</p>
"
Real-Time Optimal Trajectory Planning for Autonomous Vehicles and Lap Time Simulation Using Machine Learning. (arXiv:2102.02315v1 [cs.RO]),http://arxiv.org/abs/2102.02315,"<p>The widespread development of driverless vehicles has led to the formation of
autonomous racing competitions, where the high speeds and fierce rivalry in
motorsport provide a testbed to accelerate technology development. A particular
challenge for an autonomous vehicle is that of identifying a target trajectory
- or in the case of a racing car, the ideal racing line. Many existing
approaches to identifying the racing line are either not the time-optimal
solutions, or have solution times which are computationally expensive, thus
rendering them unsuitable for real-time application using on-board processing
hardware. This paper describes a machine learning approach to generating an
accurate prediction of the racing line in real-time on desktop processing
hardware. The proposed algorithm is a dense feed-forward neural network,
trained using a dataset comprising racing lines for a large number of circuits
calculated via a traditional optimal control lap time simulation. The network
is capable of predicting the racing line with a mean absolute error of
+/-0.27m, meaning that the accuracy outperforms a human driver, and is
comparable to other parts of the autonomous vehicle control system. The system
generates predictions within 33ms, making it over 9,000 times faster than
traditional methods of finding the optimal racing line. Results suggest that a
data-driven approach may therefore be favourable for real-time generation of
near-optimal racing lines than traditional computational methods.
</p>
"
System Intelligence for UAV-Based Mission Critical with Challenging 5G/B5G Connectivity. (arXiv:2102.02318v1 [cs.NI]),http://arxiv.org/abs/2102.02318,"<p>Unmanned aerial vehicles (UAVs) and communication systems are fundamental
elements in Mission Critical services, such as search and rescue. In this
article, we introduce an architecture for managing and orchestrating 5G and
beyond networks that operate over a heterogeneous infrastructure with UAVs'
aid. UAVs are used for collecting and processing data, as well as improving
communications. The proposed System Intelligence (SI) architecture was designed
to comply with recent standardization works, especially the ETSI Experiential
Networked Intelligence specifications. Another contribution of this article is
an evaluation using a testbed based on a virtualized non-standalone 5G core and
a 4G Radio Access Network (RAN) implemented with open-source software. The
experimental results indicate, for instance, that SI can substantially improve
the latency of UAV-based services by splitting deep neural networks between UAV
and edge or cloud equipment. Other experiments explore the slicing of RAN
resources and efficient placement of virtual network functions to assess the
benefits of incorporating intelligence in UAV-based mission-critical services.
</p>
"
